Pintle,values,units,,,,,,,,,
Entrance diameter,0.44,in,,,,,,,,,
Inner Diameter,0.221,in,,,,,,,,,
Outer Diameter,0.421,in,,,,,,,,,
Exit Diameter,0.0595,in,,,,,,,,,
Number of Orifices,12, ,,,,,,,,,
Blockage Factor,0.53984147,,,,,,,,,,
 , , ,,,,,,,,,
Pintle Version,Estimated Loss coef,Working Fluid,T intensity,T lenght Scale mm,,,,,,,
pintle V3,2.516552993,water,0.122474487,4.246892809,,,,,,,
 , , ,,,,,,,,,
Mass Flowrate kg/s,Pressure PSI,Pressure kPa,Dynamic Pressure in psi,Velocity Length Scale m/s,Entrance Velocity m/s,Exit Velocity m/s,Entrance Reynolds,Exit Reynolds,Exit Weber,momentum raio orifice,momentum raito total
0.16,10.08502637,69.53382721,0.19297036,0.163149221,1.631492206,7.434900807,13946.55073,8594.513052,1159.950738,0.720362969,1.410071197
0.19,14.22146297,98.05356103,0.272118359,0.193739699,1.937396994,8.828944709,16561.52899,10205.98425,1635.711782,0.884416749,1.731197516
0.22,19.06700298,131.4623921,0.364834587,0.224330178,2.243301783,10.22298861,19176.50725,11817.45545,2193.031863,0.827474928,1.619737011
0.25,24.62164641,169.7603203,0.471119043,0.254920657,2.549206571,11.61703251,21791.48551,13428.92664,2831.91098,0.785466222,1.53750726
0.28,30.88539326,212.9473458,0.590971728,0.285511136,2.85511136,13.01107641,24406.46377,15040.39784,3552.349134,0.709571167,1.388946833
0.31,37.85824353,261.0234686,0.724392641,0.316101615,3.161016148,14.40512031,27021.44203,16651.86904,4354.346324,0.688915184,1.348513873
0.33,42.90075671,295.7903822,0.820877821,0.336495267,3.364952674,15.33448292,28764.76087,17726.18317,4934.321692,0.713486035,1.396609974
0.36,51.055446,352.0150003,0.976912448,0.367085746,3.670857463,16.72852682,31379.73913,19337.65437,5872.250609,0.695308794,1.361029016
0.39,59.91923871,413.1287156,1.146515303,0.397676225,3.976762251,18.12257072,33994.71739,20949.12557,6891.738562,0.680111246,1.331280646
0.42,69.49213484,479.1315281,1.329686387,0.428266704,4.28266704,19.51661462,36609.69566,22560.59676,7992.785551,0.667218435,1.306043671
0.45,79.77413438,550.0234379,1.5264257,0.458857183,4.588571828,20.91065852,39224.67392,24172.06796,9175.391577,0.656144462,1.284366974
0.48,90.76523734,625.8044449,1.73673324,0.489447662,4.894476617,22.30470242,41839.65218,25783.53916,10439.55664,0.646530754,1.265548664
 , , ,,,,,,,,,
Annulus,values,units,,,,,,,,,
Entrance diameter,0.25,in,,,,,,,,,
Channel Width,0.25,in,,,,,,,,,
Channel Depth,0.21,in,,,,,,,,,
Chamber Diameter,0.865,in,,,,,,,,,
Annulus Outer Diameter,0.46875,in,,,,,,,,,
Annular Gap,0.023875,in,,,,,,,,,
 , , ,,,,,,,,,
Annulus Version,Estimated Loss coef,Working Fluid,T intensity,T lenght Scale mm,,,,,,,
Annulus V3,1.858789384,water,0.122474487,2.413007278,,,,,,,
 , , ,,,,,,,,,
Mass Flowrate kg/s,Pressure PSI,Pressure kPa,Dynamic Pressure in psi,Velocity Length Scale m/s,Entrance Velocity m/s,Exit Velocity m/s,Entrance Reynolds,Exit Reynolds,Exit Weber,momentum raio orifice,momentum raito total
0.19,10.50306342,72.41609197,0.290112209,0.200042698,2.000426976,8.828412195,9716.097006,8190.022764,656.2673623,0.720362969,1.410071197
0.25,18.18397407,125.3741204,0.50227183,0.263214076,2.632140758,11.61633183,12784.33817,10776.34574,1136.196957,0.884416749,1.731197516
0.28,22.80997707,157.2692967,0.630049783,0.294799765,2.947997649,13.01029166,14318.45875,12069.50723,1425.245463,0.827474928,1.619737011
0.31,27.95967853,192.7752476,0.772293165,0.326385454,3.26385454,14.40425148,15852.57933,13362.66872,1747.016441,0.785466222,1.53750726
0.33,31.68375642,218.4518675,0.875158436,0.34744258,3.474425801,15.33355802,16875.32638,14224.77638,1979.709578,0.709571167,1.388946833
0.36,37.70628863,259.9757762,1.041510866,0.379028269,3.790282692,16.72751784,18409.44696,15517.93787,2356.01801,0.688915184,1.348513873
0.39,44.25251929,305.1104595,1.222328725,0.410613958,4.106139583,18.12147766,19943.56754,16811.09936,2765.048914,0.713486035,1.396609974
0.42,51.32244841,353.8559175,1.417612012,0.442199647,4.421996474,19.51543748,21477.68812,18104.26085,3206.802291,0.695308794,1.361029016
0.45,58.91607598,406.2121502,1.627360728,0.473785337,4.737853365,20.9093973,23011.8087,19397.42234,3681.27814,0.680111246,1.331280646
0.48,67.03340201,462.1791576,1.851574873,0.505371026,5.053710256,22.30335712,24545.92928,20690.58382,4188.476462,0.667218435,1.306043671
0.51,75.67442648,521.7569396,2.090254446,0.536956715,5.369567147,23.69731694,26080.04986,21983.74531,4728.397256,0.656144462,1.284366974
0.54,84.83914942,584.9454963,2.343399448,0.568542404,5.685424038,25.09127676,27614.17044,23276.9068,5301.040522,0.646530754,1.265548664
