Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.000145410329	0.0128629097	0.208492012	0.208492012	0.208492012	0.208492012	0	0	0	0	0	0	0	3
2	1	0.000282103751	0.0257258194	0.287662867	0.246854263	0.208492012	0.287662867	0.0383622517	0	0	0	0	0	0	3
3	1	0.000410590173	0.0385887292	0.386491498	0.290551092	0.208492012	0.386491498	0.0820590809	0	0	0	0	0	0	3
4	1	0.000534699882	0.0514516389	0.491840306	0.337272527	0.208492012	0.491840306	0.128780516	0	0	0	0	0	0	3
5	1	0.000663347786	0.0643145486	0.600068892	0.388238555	0.208492012	0.600068892	0.179746543	0	0	0	0	0	0	3
6	2	0.000933283275	0.0771774583	0.812152882	0.510848189	0.208492012	0.812152882	0.302356178	0	0	0	0	0	0	3
7	2	0.00133601501	0.0900403681	1.08069878	0.68262539	0.208492012	1.08069878	0.474133379	0	0	0	0	0	0	3
8	2	0.00171367794	0.102903278	1.27471502	0.813110994	0.208492012	1.27471502	0.604618982	0	0	0	0	0	0	3
9	2	0.00204576108	0.115766188	1.39394312	0.907395981	0.208492012	1.39394312	0.698903969	0	0	0	0	0	0	3
10	2	0.00235250952	0.128629097	1.47008796	0.980766518	0.208492012	1.47008796	0.772274506	0	0	0	0	0	0	3
11	2	0.00278661705	0.141492007	1.54440653	1.06857204	0.208492012	1.54440653	0.860080031	0	0	0	0	0	0	3
12	2	0.00319996427	0.154354917	1.59215232	1.13620419	0.208492012	1.59215232	0.927712177	0	0	0	0	0	0	3
13	3	0.00358829333	0.167217826	1.61783609	1.18832692	0.208492012	1.61783609	0.979834912	0	0	0	0	0	0	3
14	3	0.00394533396	0.180080736	1.67741415	1.23258782	0.208492012	1.67741415	1.02409581	0	0	0	0	0	0	3
15	3	0.00428113244	0.192943646	1.72833304	1.2714725	0.208492012	1.72833304	1.06298049	0	0	0	0	0	0	3
