Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.000145410329	0.0128629097	0.102300582	0.102300582	0.102300582	0.102300582	0	0	0	0	0	0	0	3
2	1	0.000282103751	0.0257258194	0.249638557	0.173693223	0.102300582	0.249638557	0.0713926416	0	0	0	0	0	0	3
3	1	0.000410590173	0.0385887292	0.299929603	0.213196509	0.102300582	0.299929603	0.110895927	0	0	0	0	0	0	3
4	1	0.000534699882	0.0514516389	0.417361992	0.260585557	0.102300582	0.417361992	0.158284975	0	0	0	0	0	0	3
5	1	0.000663347786	0.0643145486	0.536959052	0.314184697	0.102300582	0.536959052	0.211884115	0	0	0	0	0	0	3
6	2	0.000933283275	0.0771774583	0.735168179	0.435946637	0.102300582	0.735168179	0.333646055	0	0	0	0	0	0	3
7	2	0.00133601501	0.0900403681	1.01594256	0.610782073	0.102300582	1.01594256	0.508481491	0	0	0	0	0	0	3
8	2	0.00171367794	0.102903278	1.17027792	0.734084609	0.102300582	1.17027792	0.631784027	0	0	0	0	0	0	3
9	2	0.00204576108	0.115766188	1.33952261	0.832363806	0.102300582	1.33952261	0.730063224	0	0	0	0	0	0	3
10	2	0.00235250952	0.128629097	1.44429391	0.912154601	0.102300582	1.44429391	0.809854019	0	0	0	0	0	0	3
11	2	0.00278661705	0.141492007	1.62315115	1.02291577	0.102300582	1.62315115	0.920615186	0	0	0	0	0	0	3
12	2	0.00319996427	0.154354917	1.66981077	1.10647678	0.102300582	1.66981077	1.0041762	0	0	0	0	0	0	3
13	3	0.00358829333	0.167217826	1.7776469	1.17911155	0.102300582	1.7776469	1.07681097	0	0	0	0	0	0	3
14	3	0.00394533396	0.180080736	1.77915534	1.23341367	0.102300582	1.77915534	1.13111309	0	0	0	0	0	0	3
15	3	0.00428113244	0.192943646	1.84650412	1.28150255	0.102300582	1.84650412	1.17920197	0	0	0	0	0	0	3
16	3	0.00476218948	0.205806556	1.79722089	1.33359832	0.102300582	1.84650412	1.23129774	0	0	0	0	0	0	3
17	3	0.00521994513	0.218669465	1.88348348	1.38181972	0.102300582	1.88348348	1.27951913	0	0	0	0	0	0	3
18	3	0.00566374794	0.231532375	1.82838637	1.41681201	0.102300582	1.88348348	1.31451143	0	0	0	0	0	0	3
19	3	0.00609661138	0.244395285	1.8958411	1.45082339	0.102300582	1.8958411	1.34852281	0	0	0	0	0	0	3
20	4	0.0065237468	0.257258194	1.82997314	1.47564782	0.102300582	1.8958411	1.37334724	0	0	0	0	0	0	3
21	4	0.0071556901	0.270121104	1.94495433	1.51709387	0.102300582	1.94495433	1.41479329	0	0	0	0	0	0	3
22	4	0.00778307986	0.282984014	1.8458874	1.54359774	0.102300582	1.94495433	1.44129716	0	0	0	0	0	0	3
23	4	0.00840623883	0.295846924	1.96094891	1.5745362	0.102300582	1.96094891	1.47223562	0	0	0	0	0	0	3
24	4	0.0090272426	0.308709833	1.86002392	1.59417553	0.102300582	1.96094891	1.49187495	0	0	0	0	0	0	3
25	4	0.00964722744	0.321572743	1.96775479	1.61818382	0.102300582	1.96775479	1.51588324	0	0	0	0	0	0	3
26	4	0.0105764651	0.334435653	1.82194584	1.63608615	0.102300582	1.96775479	1.53378557	0	0	0	0	0	0	3
27	5	0.0115026175	0.347298563	2.0171834	1.66677083	0.102300582	2.0171834	1.56447025	0	0	0	0	0	0	3
28	5	0.0124309062	0.360161472	1.88583044	1.68312929	0.102300582	2.0171834	1.58082871	0	0	0	0	0	0	3
29	5	0.0133575579	0.373024382	2.04159263	1.70799692	0.102300582	2.04159263	1.60569633	0	0	0	0	0	0	3
30	5	0.0142840034	0.385887292	1.89479735	1.7201126	0.102300582	2.04159263	1.61781201	0	0	0	0	0	0	3
31	5	0.0154987529	0.398750201	2.08644656	1.74882484	0.102300582	2.08644656	1.64652426	0	0	0	0	0	0	3
