Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	-2.27779722e-43	-2.27779722e-43	-2.27779722e-43	-2.27779722e-43	0	0	0	0	0	0	0	3
2	1	0	0.05	-0.00857722583	-0.00428861291	-0.00857722583	-2.27779722e-43	0.00428861291	0	0	0	0	0	0	3
3	1	0	0.075	-0.0143748253	-0.0076506837	-0.0143748253	-2.27779722e-43	0.0076506837	0	0	0	0	0	0	3
4	2	0	0.1	-0.0195629113	-0.0106287406	-0.0195629113	-2.27779722e-43	0.0106287406	0	0	0	0	0	0	3
5	2	0	0.125	-0.0253959547	-0.0135821834	-0.0253959547	-2.27779722e-43	0.0135821834	0	0	0	0	0	0	3
6	2	0	0.15	-0.0323156114	-0.0167044214	-0.0323156114	-2.27779722e-43	0.0167044214	0	0	0	0	0	0	3
7	2	0	0.175	-0.0498390673	-0.0214379423	-0.0498390673	-2.27779722e-43	0.0214379423	0	0	0	0	0	0	3
8	2	0	0.2	-0.0966262954	-0.0308364864	-0.0966262954	-2.27779722e-43	0.0308364864	0	0	0	0	0	0	3
9	2	0	0.225	-0.140183533	-0.0429861582	-0.140183533	-2.27779722e-43	0.0429861582	0	0	0	0	0	0	3
10	2	0	0.25	-0.164422248	-0.0551297673	-0.164422248	-2.27779722e-43	0.0551297673	0	0	0	0	0	0	3
11	2	0	0.275	-0.182373504	-0.0666973797	-0.182373504	-2.27779722e-43	0.0666973797	0	0	0	0	0	0	3
12	3	0	0.3	-0.204514747	-0.0781821603	-0.204514747	-2.27779722e-43	0.0781821603	0	0	0	0	0	0	3
13	3	0	0.325	-0.221622836	-0.0892160584	-0.221622836	-2.27779722e-43	0.0892160584	0	0	0	0	0	0	3
14	3	0	0.35	-0.235045399	-0.0996324399	-0.235045399	-2.27779722e-43	0.0996324399	0	0	0	0	0	0	3
15	3	0	0.375	-0.245474303	-0.109355231	-0.245474303	-2.27779722e-43	0.109355231	0	0	0	0	0	0	3
16	3	0	0.4	-0.253801849	-0.118383144	-0.253801849	-2.27779722e-43	0.118383144	0	0	0	0	0	0	3
17	3	0	0.425	-0.263404396	-0.126913806	-0.263404396	-2.27779722e-43	0.126913806	0	0	0	0	0	0	3
18	3	0	0.45	-0.270915967	-0.134913926	-0.270915967	-2.27779722e-43	0.134913926	0	0	0	0	0	0	3
19	4	0	0.475	-0.27677991	-0.142380557	-0.27677991	-2.27779722e-43	0.142380557	0	0	0	0	0	0	3
20	4	0	0.5	-0.281483546	-0.149335707	-0.281483546	-2.27779722e-43	0.149335707	0	0	0	0	0	0	3
21	4	0	0.525	-0.285339656	-0.163602689	-0.285339656	-0.00857722583	0.159314076	0	0	0	0	0	0	3
22	4	0	0.55	-0.289800134	-0.177663835	-0.289800134	-0.0143748253	0.170013151	0	0	0	0	0	0	3
23	4	0	0.575	-0.293507619	-0.191620474	-0.293507619	-0.0195629113	0.180991734	0	0	0	0	0	0	3
24	4	0	0.6	-0.296340986	-0.205459378	-0.296340986	-0.0253959547	0.191877195	0	0	0	0	0	0	3
25	4	0	0.625	-0.298836356	-0.219131398	-0.298836356	-0.0323156114	0.202426977	0	0	0	0	0	0	3
26	4	0	0.65	-0.300589077	-0.232545071	-0.300589077	-0.0498390673	0.211107129	0	0	0	0	0	0	3
27	5	0	0.675	-0.303090876	-0.245207662	-0.303090876	-0.0966262954	0.20646458	0	0	0	0	0	0	3
28	5	0	0.7	-0.304809579	-0.255616826	-0.304809579	-0.140183533	0.164626046	0	0	0	0	0	0	3
29	5	0	0.725	-0.306159825	-0.263915641	-0.306159825	-0.164422248	0.141737577	0	0	0	0	0	0	3
30	5	0	0.75	-0.307273699	-0.271058213	-0.307273699	-0.182373504	0.124900195	0	0	0	0	0	0	3
31	5	0	0.775	-0.30770323	-0.2773247	-0.30770323	-0.204514747	0.103188483	0	0	0	0	0	0	3
32	5	0	0.8	-0.308774133	-0.282537669	-0.308774133	-0.221622836	0.0871512971	0	0	0	0	0	0	3
33	5	0	0.825	-0.309180567	-0.286915555	-0.309180567	-0.235045399	0.0741351679	0	0	0	0	0	0	3
34	6	0	0.85	-0.309676365	-0.290647104	-0.309676365	-0.245474303	0.0642020619	0	0	0	0	0	0	3
35	6	0	0.875	-0.309707081	-0.293858743	-0.309707081	-0.253801849	0.0559052322	0	0	0	0	0	0	3
36	6	0	0.9	-0.310035775	-0.296670439	-0.310035775	-0.263404396	0.0466313793	0	0	0	0	0	0	3
37	6	0	0.925	-0.310196208	-0.29901003	-0.310196208	-0.270915967	0.0392802413	0	0	0	0	0	0	3
38	6	0	0.95	-0.310812927	-0.301004878	-0.310812927	-0.27677991	0.0340330169	0	0	0	0	0	0	3
39	6	0	0.975	-0.311674653	-0.302749615	-0.311674653	-0.281483546	0.0301911064	0	0	0	0	0	0	3
40	6	0	1	-0.312858557	-0.304318365	-0.312858557	-0.285339656	0.0275189011	0.0447725597	0	100	0	0	0	3
41	7	0	1.025	-0.313824892	-0.305742627	-0.313824892	-0.289800134	0.0240247576	0.0449175099	0	100	0	0	0	3
42	7	0	1.05	-0.315391047	-0.307022173	-0.315391047	-0.293507619	0.0218834277	0.0450349716	0	100	0	0	0	3
43	7	0	1.075	-0.316805589	-0.308187071	-0.316805589	-0.296340986	0.020464603	0.0448854483	0	100	0	0	0	3
44	7	0	1.1	-0.317888618	-0.30864905	-0.317888618	-0.296340986	0.0215476322	0.0447725597	0	100	0	0	0	3
45	7	0	1.125	-0.318716142	-0.309714533	-0.318716142	-0.298836356	0.0198797853	0.0447725597	0	100	0	0	0	3
46	7	0	1.15	-0.319300216	-0.310689003	-0.319300216	-0.300589077	0.0187111386	0.0447725597	0	100	0	0	0	3
47	8	0	1.175	-0.320268656	-0.311626125	-0.320268656	-0.303090876	0.0171777798	0.0447725597	0	100	0	0	0	3
48	8	0	1.2	-0.320910627	-0.312474685	-0.320910627	-0.304809579	0.0161010489	0.0447725597	0	100	0	0	0	3
49	8	0	1.225	-0.321567256	-0.31327267	-0.321567256	-0.306159825	0.0154074308	0.0447725597	0	100	0	0	0	3
50	8	0	1.25	-0.321814712	-0.31401814	-0.321814712	-0.307273699	0.0145410127	0.0447725597	0	100	0	0	0	3
51	8	0	1.275	-0.322389795	-0.314737955	-0.322389795	-0.30770323	0.014686565	0.0447725597	0	100	0	0	0	3
52	8	0	1.3	-0.322720833	-0.315453078	-0.322720833	-0.308774133	0.0139467	0.0447725597	0	100	0	0	0	3
53	8	0	1.325	-0.3236435	-0.316161144	-0.3236435	-0.309180567	0.0144629332	0.0447725597	0	100	0	0	0	3
54	9	0	1.35	-0.324071128	-0.316870218	-0.324071128	-0.309676365	0.0143947623	0.0447725597	0	100	0	0	0	3
55	9	0	1.375	-0.325863125	-0.317641016	-0.325863125	-0.309707081	0.0161560441	0.0447725597	0	100	0	0	0	3
56	9	0	1.4	-0.326861887	-0.318457911	-0.326861887	-0.310035775	0.0168261116	0.0447725597	0	100	0	0	0	3
