Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.000145410329	0.0128629097	0	0	0	0	0	0	0	0	0	0	0	3
2	1	0.000282103751	0.0257258194	0	0	0	0	0	0	0	0	0	0	0	3
3	1	0.000410590173	0.0385887292	0	0	0	0	0	0	0	0	0	0	0	3
4	1	0.000534699882	0.0514516389	0	0	0	0	0	0	0	0	0	0	0	3
5	1	0.000663347786	0.0643145486	0	0	0	0	0	0	0	0	0	0	0	3
6	2	0.000933283275	0.0771774583	0	0	0	0	0	0	0	0	0	0	0	3
7	2	0.00133601501	0.0900403681	0	0	0	0	0	0	0	0	0	0	0	3
8	2	0.00171367794	0.102903278	0	0	0	0	0	0	0	0	0	0	0	3
9	2	0.00204576108	0.115766188	0	0	0	0	0	0	0	0	0	0	0	3
10	2	0.00235250952	0.128629097	0	0	0	0	0	0	0	0	0	0	0	3
11	2	0.00278661705	0.141492007	0	0	0	0	0	0	0	0	0	0	0	3
12	2	0.00319996427	0.154354917	0	0	0	0	0	0	0	0	0	0	0	3
13	3	0.00358829333	0.167217826	0	0	0	0	0	0	0	0	0	0	0	3
14	3	0.00394533396	0.180080736	0	0	0	0	0	0	0	0	0	0	0	3
15	3	0.00428113244	0.192943646	0	0	0	0	0	0	0	0	0	0	0	3
16	3	0.00476218948	0.205806556	0	0	0	0	0	0	0	0	0	0	0	3
17	3	0.00521994513	0.218669465	0	0	0	0	0	0	0	0	0	0	0	3
18	3	0.00566374794	0.231532375	0	0	0	0	0	0	0	0	0	0	0	3
19	3	0.00609661138	0.244395285	0	0	0	0	0	0	0	0	0	0	0	3
20	4	0.0065237468	0.257258194	0	0	0	0	0	0	0	0	0	0	0	3
21	4	0.0071556901	0.270121104	0	0	0	0	0	0	0	0	0	0	0	3
22	4	0.00778307986	0.282984014	0	0	0	0	0	0	0	0	0	0	0	3
23	4	0.00840623883	0.295846924	0	0	0	0	0	0	0	0	0	0	0	3
24	4	0.0090272426	0.308709833	0	0	0	0	0	0	0	0	0	0	0	3
25	4	0.00964722744	0.321572743	0	0	0	0	0	0	0	0	0	0	0	3
26	4	0.0105764651	0.334435653	0	0	0	0	0	0	0	0	0	0	0	3
27	5	0.0115026175	0.347298563	0	0	0	0	0	0	0	0	0	0	0	3
28	5	0.0124309062	0.360161472	0	0	0	0	0	0	0	0	0	0	0	3
29	5	0.0133575579	0.373024382	0	0	0	0	0	0	0	0	0	0	0	3
30	5	0.0142840034	0.385887292	0	0	0	0	0	0	0	0	0	0	0	3
31	5	0.0154987529	0.398750201	0	0	0	0	0	0	0	0	0	0	0	3
32	5	0.0167161851	0.411613111	0	0	0	0	0	0	0	0	0	0	0	3
33	6	0.0179304296	0.424476021	0	0	0	0	0	0	0	0	0	0	0	3
34	6	0.0191432475	0.437338931	0	0	0	0	0	0	0	0	0	0	0	3
35	6	0.0203516708	0.45020184	0	0	0	0	0	0	0	0	0	0	0	3
36	6	0.0215568107	0.46306475	0	0	0	0	0	0	0	0	0	0	0	3
37	6	0.0227623774	0.47592766	0	0	0	0	0	0	0	0	0	0	0	3
38	6	0.0239813028	0.488790569	0	0	0	0	0	0	0	0	0	0	0	3
39	6	0.0252299952	0.501653479	0	0	0	0	0	0	0	0	0	0	0	3
40	7	0.026492734	0.514516389	0	0	0	0	0	0	0	0	0	0	0	3
41	7	0.0277690642	0.527379299	0	0	0	0	0	0	0	0	0	0	0	3
42	7	0.0290558845	0.540242208	0	0	0	0	0	0	0	0	0	0	0	3
43	7	0.030349002	0.553105118	0	0	0	0	0	0	0	0	0	0	0	3
44	7	0.0316478662	0.565968028	0	0	0	0	0	0	0	0	0	0	0	3
45	7	0.032956688	0.578830938	0	0	0	0	0	0	0	0	0	0	0	3
46	8	0.0342727135	0.591693847	0	0	0	0	0	0	0	0	0	0	0	3
47	8	0.0355912775	0.604556757	0	0	0	0	0	0	0	0	0	0	0	3
48	8	0.0369107088	0.617419667	0	0	0	0	0	0	0	0	0	0	0	3
49	8	0.0382342701	0.630282576	0	0	0	0	0	0	0	0	0	0	0	3
50	8	0.0395593801	0.643145486	0	0	0	0	0	0	0	0	0	0	0	3
51	8	0.0408825197	0.656008396	0	0	0	0	0	0	0	0	0	0	0	3
52	8	0.0422018867	0.668871306	0	0	0	0	0	0	0	0	0	0	0	3
53	9	0.0435231309	0.681734215	0	0	0	0	0	0	0	0	0	0	0	3
54	9	0.0448444796	0.694597125	0	0	0	0	0	0	0	0	0	0	0	3
55	9	0.0461630984	0.707460035	0	0	0	0	0	0	0	0	0	0	0	3
56	9	0.0474787448	0.720322945	0	0	0	0	0	0	0	0	0	0	0	3
57	9	0.0487957638	0.733185854	0	0	0	0	0	0	0	0	0	0	0	3
58	9	0.050111243	0.746048764	0	0	0	0	0	0	0	0	0	0	0	3
59	10	0.0514249539	0.758911674	0	0	0	0	0	0	0	0	0	0	0	3
60	10	0.0527363155	0.771774583	0	0	0	0	0	0	0	0	0	0	0	3
61	10	0.0540493145	0.784637493	0	0	0	0	0	0	0	0	0	0	0	3
62	10	0.0553630104	0.797500403	0	0	0	0	0	0	0	0	0	0	0	3
63	10	0.0566727069	0.810363313	0	0	0	0	0	0	0	0	0	0	0	3
64	10	0.057985782	0.823226222	0	0	0	0	0	0	0	0	0	0	0	3
65	10	0.0592974716	0.836089132	0	0	0	0	0	0	0	0	0	0	0	3
66	11	0.0606071771	0.848952042	0	0	0	0	0	0	0	0	0	0	0	3
67	11	0.0619137305	0.861814951	0	0	0	0	0	0	0	0	0	0	0	3
68	11	0.0632242294	0.874677861	0	0	0	0	0	0	0	0	0	0	0	3
69	11	0.0645339311	0.887540771	0	0	0	0	0	0	0	0	0	0	0	3
70	11	0.065841945	0.900403681	0	0	0	0	0	0	0	0	0	0	0	3
71	11	0.0671522212	0.91326659	0	0	0	0	0	0	0	0	0	0	0	3
72	12	0.0684619295	0.9261295	0	0	0	0	0	0	0	0	0	0	0	3
73	12	0.0697683198	0.93899241	0	0	0	0	0	0	0	0	0	0	0	3
74	12	0.0710786896	0.95185532	0	0	0	0	0	0	0	0	0	0	0	3
75	12	0.0723883212	0.964718229	0	0	0	0	0	0	0	0	0	0	0	3
76	12	0.0736959325	0.977581139	0	0	0	0	0	0	0	0	0	0	0	3
77	12	0.0750058633	0.990444049	0	0	0	0	0	0	0	0	0	0	0	3
78	12	0.0763165913	1.00330696	0	0	0	0	0	5e-06	0	0	0	0	0	3
79	13	0.077623405	1.01616987	0	0	0	0	0	5e-06	0	0	0	0	0	3
80	13	0.0789339182	1.02903278	0	0	0	0	0	5e-06	0	0	0	0	0	3
81	13	0.0802435138	1.04189569	0	0	0	0	0	5e-06	0	0	0	0	0	3
82	13	0.0815495272	1.0547586	0	0	0	0	0	5e-06	0	0	0	0	0	3
83	13	0.0828584481	1.06762151	0	0	0	0	0	5e-06	0	0	0	0	0	3
84	13	0.0841683114	1.08048442	0	0	0	0	0	5e-06	0	0	0	0	0	3
85	14	0.0854744978	1.09334733	0	0	0	0	0	5e-06	0	0	0	0	0	3
86	14	0.0867848611	1.10621024	0	0	0	0	0	5e-06	0	0	0	0	0	3
87	14	0.0880943255	1.11907315	0	0	0	0	0	5e-06	0	0	0	0	0	3
88	14	0.0894015856	1.13193606	0	0	0	0	0	5e-06	0	0	0	0	0	3
89	14	0.0907109991	1.14479897	0	0	0	0	0	5e-06	0	0	0	0	0	3
90	14	0.0920211317	1.15766188	0	0	0	0	0	5e-06	0	0	0	0	0	3
91	14	0.0933274143	1.17052478	0	0	0	0	0	5e-06	0	0	0	0	0	3
92	15	0.0946373917	1.18338769	0	0	0	0	0	5e-06	0	0	0	0	0	3
93	15	0.0959463888	1.1962506	0	0	0	0	0	5e-06	0	0	0	0	0	3
94	15	0.0972519051	1.20911351	0	0	0	0	0	5e-06	0	0	0	0	0	3
95	15	0.0985602317	1.22197642	0	0	0	0	0	5e-06	0	0	0	0	0	3
96	15	0.0998694056	1.23483933	0	0	0	0	0	5e-06	0	0	0	0	0	3
97	15	0.10117497	1.24770224	0	0	0	0	0	5e-06	0	0	0	0	0	3
98	16	0.102484495	1.26056515	0	0	0	0	0	5e-06	0	0	0	0	0	3
99	16	0.103793206	1.27342806	0	0	0	0	0	5e-06	0	0	0	0	0	3
100	16	0.105098358	1.28629097	0	0	0	0	0	5e-06	0	0	0	0	0	3
101	16	0.106406386	1.29915388	0	0	0	0	0	5e-06	0	0	0	0	0	3
102	16	0.107715142	1.31201679	0	0	0	0	0	5e-06	0	0	0	0	0	3
103	17	0.109020334	1.3248797	0	0	0	0	0	5e-06	0	0	0	0	0	3
104	17	0.110329544	1.33774261	0	0	0	0	0	5e-06	0	0	0	0	0	3
105	17	0.111637948	1.35060552	0	0	0	0	0	5e-06	0	0	0	0	0	3
106	17	0.112944023	1.36346843	0	0	0	0	0	5e-06	0	0	0	0	0	3
107	17	0.114252296	1.37633134	0	0	0	0	0	5e-06	0	0	0	0	0	3
108	17	0.115561188	1.38919425	0	0	0	0	0	5e-06	0	0	0	0	0	3
109	18	0.116866377	1.40205716	0	0	0	0	0	5e-06	0	0	0	0	0	3
110	18	0.118173807	1.41492007	0	0	0	0	0	5e-06	0	0	0	0	0	3
111	18	0.119480954	1.42778298	0	0	0	0	0	5e-06	0	0	0	0	0	3
112	18	0.120786295	1.44064589	0	0	0	0	0	5e-06	0	0	0	0	0	3
113	18	0.122093878	1.4535088	0	0	0	0	0	5e-06	0	0	0	0	0	3
114	18	0.123402319	1.46637171	0	0	0	0	0	5e-06	0	0	0	0	0	3
115	19	0.124707067	1.47923462	0	0	0	0	0	5e-06	0	0	0	0	0	3
116	19	0.126014132	1.49209753	0	0	0	0	0	5e-06	0	0	0	0	0	3
117	19	0.127320799	1.50496044	0	0	0	0	0	5e-06	0	0	0	0	0	3
118	19	0.128625311	1.51782335	0	0	0	0	0	5e-06	0	0	0	0	0	3
119	19	0.129932214	1.53068626	0	0	0	0	0	5e-06	0	0	0	0	0	3
120	19	0.13124009	1.54354917	0	0	0	0	0	5e-06	0	0	0	0	0	3
121	20	0.132544331	1.55641208	0	0	0	0	0	5e-06	0	0	0	0	0	3
122	20	0.133850884	1.56927499	0	0	0	0	0	5e-06	0	0	0	0	0	3
123	20	0.135157136	1.5821379	0	0	0	0	0	5e-06	0	0	0	0	0	3
124	20	0.136461549	1.59500081	0	0	0	0	0	5e-06	0	0	0	0	0	3
125	20	0.137768239	1.60786372	0	0	0	0	0	5e-06	0	0	0	0	0	3
126	20	0.139075803	1.62072663	0	0	0	0	0	5e-06	0	0	0	0	0	3
127	21	0.140379689	1.63358953	0	0	0	0	0	5e-06	0	0	0	0	0	3
128	21	0.141685923	1.64645244	0	0	0	0	0	5e-06	0	0	0	0	0	3
129	21	0.142991806	1.65931535	0	0	0	0	0	5e-06	0	0	0	0	0	3
130	21	0.144295599	1.67217826	0	0	0	0	0	5e-06	0	0	0	0	0	3
131	21	0.14560179	1.68504117	0	0	0	0	0	5e-06	0	0	0	0	0	3
132	21	0.146908979	1.69790408	0	0	0	0	0	5e-06	0	0	0	0	0	3
133	22	0.148212611	1.71076699	0	0	0	0	0	5e-06	0	0	0	0	0	3
134	22	0.149518584	1.7236299	0	0	0	0	0	5e-06	0	0	0	0	0	3
135	22	0.150824292	1.73649281	0	0	0	0	0	5e-06	0	0	0	0	0	3
136	22	0.152128174	1.74935572	0	0	0	0	0	5e-06	0	0	0	0	0	3
137	22	0.15343437	1.76221863	0	0	0	0	0	5e-06	0	0	0	0	0	3
138	22	0.154741494	1.77508154	0	0	0	0	0	5e-06	0	0	0	0	0	3
139	23	0.156044986	1.78794445	0	0	0	0	0	5e-06	0	0	0	0	0	3
140	23	0.157350837	1.80080736	0	0	0	0	0	5e-06	0	0	0	0	0	3
141	23	0.158656397	1.81367027	0	0	0	0	0	5e-06	0	0	0	0	0	3
142	23	0.159959853	1.82653318	0	0	0	0	0	5e-06	0	0	0	0	0	3
143	23	0.161265802	1.83939609	0	0	0	0	0	5e-06	0	0	0	0	0	3
144	23	0.162572737	1.852259	0	0	0	0	0	5e-06	0	0	0	0	0	3
145	23	0.163876147	1.86512191	0	0	0	0	0	5e-06	0	0	0	0	0	3
146	24	0.165181919	1.87798482	0	0	0	0	0	5e-06	0	0	0	0	0	3
147	24	0.16648743	1.89084773	0	0	0	0	0	5e-06	0	0	0	0	0	3
148	24	0.167791152	1.90371064	0	0	0	0	0	5e-06	0	0	0	0	0	3
149	24	0.169097243	1.91657355	0	0	0	0	0	5e-06	0	0	0	0	0	3
150	24	0.170404184	1.92943646	0	0	0	0	0	5e-06	0	0	0	0	0	3
151	24	0.171707586	1.94229937	0	0	0	0	0	5e-06	0	0	0	0	0	3
152	25	0.173013343	1.95516228	0	0	0	0	0	5e-06	0	0	0	0	0	3
153	25	0.174318855	1.96802519	0	0	0	0	0	5e-06	0	0	0	0	0	3
154	25	0.175622525	1.9808881	0	0	0	0	0	5e-06	0	0	0	0	0	3
155	25	0.176928593	1.99375101	0	0	0	0	0	5e-06	0	0	0	0	0	3
156	25	0.178234186	2.00661392	0	0	0	0	0	5e-06	0	0	0	0	0	3
157	25	0.17953683	2.01947683	0	0	0	0	0	5e-06	0	0	0	0	0	3
158	26	0.180843438	2.03233974	0	0	0	0	0	5e-06	0	0	0	0	0	3
159	26	0.182149326	2.04520265	0	0	0	0	0	5e-06	0	0	0	0	0	3
160	26	0.183453319	2.05806556	0	0	0	0	0	5e-06	0	0	0	0	0	3
161	26	0.184759664	2.07092847	0	0	0	0	0	5e-06	0	0	0	0	0	3
162	26	0.186066737	2.08379138	0	0	0	0	0	5e-06	0	0	0	0	0	3
163	26	0.187370146	2.09665428	0	0	0	0	0	5e-06	0	0	0	0	0	3
164	26	0.188677108	2.10951719	0	0	0	0	0	5e-06	0	0	0	0	0	3
165	27	0.189983266	2.1223801	0	0	0	0	0	5e-06	0	0	0	0	0	3
166	27	0.191285914	2.13524301	0	0	0	0	0	5e-06	0	0	0	0	0	3
167	27	0.192591517	2.14810592	0	0	0	0	0	5e-06	0	0	0	0	0	3
168	27	0.193897946	2.16096883	0	0	0	0	0	5e-06	0	0	0	0	0	3
169	27	0.19520088	2.17383174	0	0	0	0	0	5e-06	0	0	0	0	0	3
170	27	0.196507765	2.18669465	0	0	0	0	0	5e-06	0	0	0	0	0	3
171	28	0.197813918	2.19955756	0	0	0	0	0	5e-06	0	0	0	0	0	3
172	28	0.19911658	2.21242047	0	0	0	0	0	5e-06	0	0	0	0	0	3
173	28	0.200422222	2.22528338	0	0	0	0	0	5e-06	0	0	0	0	0	3
174	28	0.201728696	2.23814629	0	0	0	0	0	5e-06	0	0	0	0	0	3
175	28	0.203031623	2.2510092	0	0	0	0	0	5e-06	0	0	0	0	0	3
176	28	0.204338505	2.26387211	0	0	0	0	0	5e-06	0	0	0	0	0	3
177	29	0.205644685	2.27673502	0	0	0	0	0	5e-06	0	0	0	0	0	3
178	29	0.206947411	2.28959793	0	0	0	0	0	5e-06	0	0	0	0	0	3
179	29	0.208253107	2.30246084	0	0	0	0	0	5e-06	0	0	0	0	0	3
180	29	0.209559692	2.31532375	0	0	0	0	0	5e-06	0	0	0	0	0	3
181	29	0.210862655	2.32818666	0	0	0	0	0	5e-06	0	0	0	0	0	3
182	29	0.212169593	2.34104957	0	0	0	0	0	5e-06	0	0	0	0	0	3
183	30	0.21347579	2.35391248	0	0	0	0	0	5e-06	0	0	0	0	0	3
184	30	0.214778505	2.36677539	0	0	0	0	0	5e-06	0	0	0	0	0	3
185	30	0.216084219	2.3796383	0	0	0	0	0	5e-06	0	0	0	0	0	3
186	30	0.21739076	2.39250121	0	0	0	0	0	5e-06	0	0	0	0	0	3
187	30	0.218693732	2.40536412	0	0	0	0	0	5e-06	0	0	0	0	0	3
188	30	0.220000636	2.41822703	0	0	0	0	0	5e-06	0	0	0	0	0	3
189	31	0.221306837	2.43108994	0	0	0	0	0	5e-06	0	0	0	0	0	3
190	31	0.222609545	2.44395285	0	0	0	0	0	5e-06	0	0	0	0	0	3
191	31	0.223915249	2.45681576	0	0	0	0	0	5e-06	0	0	0	0	0	3
192	31	0.225221799	2.46967867	0	0	0	0	0	5e-06	0	0	0	0	0	3
193	31	0.226524756	2.48254158	0	0	0	0	0	5e-06	0	0	0	0	0	3
194	31	0.227831633	2.49540449	0	0	0	0	0	5e-06	0	0	0	0	0	3
195	32	0.229137837	2.5082674	0	0	0	0	0	5e-06	0	0	0	0	0	3
196	32	0.230440525	2.52113031	0	0	0	0	0	5e-06	0	0	0	0	0	3
197	32	0.231746249	2.53399322	0	0	0	0	0	5e-06	0	0	0	0	0	3
198	32	0.233052725	2.54685613	0	0	0	0	0	5e-06	0	0	0	0	0	3
199	32	0.234355684	2.55971903	0	0	0	0	0	5e-06	0	0	0	0	0	3
200	32	0.235662662	2.57258194	0	0	0	0	0	5e-06	0	0	0	0	0	3
201	33	0.236968933	2.58544485	0	0	0	0	0	5e-06	0	0	0	0	0	3
202	33	0.238272939	2.59830776	0	0	0	0	0	5e-06	0	0	0	0	0	3
203	33	0.239579301	2.61117067	0	0	0	0	0	5e-06	0	0	0	0	0	3
204	33	0.240884929	2.62403358	0	0	0	0	0	5e-06	0	0	0	0	0	3
205	33	0.242187533	2.63689649	0	0	0	0	0	5e-06	0	0	0	0	0	3
206	34	0.243494046	2.6497594	0	0	0	0	0	5e-06	0	0	0	0	0	3
207	34	0.244799926	2.66262231	0	0	0	0	0	5e-06	0	0	0	0	0	3
208	34	0.246103872	2.67548522	0	0	0	0	0	5e-06	0	0	0	0	0	3
