Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.000145410329	0.0128629097	-7.47742863e-44	-7.47742863e-44	-7.47742863e-44	-7.47742863e-44	0	0	0	0	0	0	0	3
2	1	0.000282103751	0.0257258194	-5.79293092e-06	-2.80696569e-06	-5.79293092e-06	-7.47742863e-44	2.80696569e-06	0	0	0	0	0	0	3
3	1	0.000410590173	0.0385887292	7.50332997e-06	4.19446157e-07	-5.79293092e-06	7.50332997e-06	3.22641185e-06	0	0	0	0	0	0	3
4	1	0.000534699882	0.0514516389	-3.43738764e-06	-4.75767278e-07	-5.79293092e-06	7.50332997e-06	3.22641185e-06	0	0	0	0	0	0	3
5	1	0.000663347786	0.0643145486	-8.20344641e-07	-5.42593695e-07	-5.79293092e-06	7.50332997e-06	3.22641185e-06	0	0	0	0	0	0	3
6	2	0.000933283275	0.0771774583	1.21080565e-07	-3.5063779e-07	-5.79293092e-06	7.50332997e-06	3.22641185e-06	0	0	0	0	0	0	3
7	2	0.00133601501	0.0900403681	3.21184031e-07	-1.48122123e-07	-5.79293092e-06	7.50332997e-06	3.22641185e-06	0	0	0	0	0	0	3
8	2	0.00171367794	0.102903278	6.04268026e-07	1.76907497e-08	-5.79293092e-06	7.50332997e-06	3.22641185e-06	0	0	0	0	0	0	3
9	2	0.00204576108	0.115766188	1.188404e-06	2.07729625e-07	-5.79293092e-06	7.50332997e-06	3.22641185e-06	0	0	0	0	0	0	3
10	2	0.00235250952	0.128629097	1.72476248e-06	4.05538585e-07	-5.79293092e-06	7.50332997e-06	3.22641185e-06	0	0	0	0	0	0	3
11	2	0.00278661705	0.141492007	2.26549902e-06	6.95288781e-07	-5.79293092e-06	7.50332997e-06	3.50225447e-06	0	0	0	0	0	0	3
12	2	0.00319996427	0.154354917	4.07886033e-06	1.132353e-06	-5.79293092e-06	7.50332997e-06	3.93931869e-06	0	0	0	0	0	0	3
13	3	0.00358829333	0.167217826	-5.26244741e-07	9.52857726e-07	-5.79293092e-06	7.50332997e-06	3.93931869e-06	0	0	0	0	0	0	3
14	3	0.00394533396	0.180080736	1.13494113e-05	1.89371397e-06	-5.79293092e-06	1.13494113e-05	4.70067966e-06	0	0	0	0	0	0	3
15	3	0.00428113244	0.192943646	-1.78487905e-06	1.60517678e-06	-5.79293092e-06	1.13494113e-05	4.70067966e-06	0	0	0	0	0	0	3
16	3	0.00476218948	0.205806556	5.48561226e-06	1.99716261e-06	-5.79293092e-06	1.13494113e-05	4.8041283e-06	0	0	0	0	0	0	3
17	3	0.00521994513	0.218669465	-1.36245576e-06	1.70254566e-06	-5.79293092e-06	1.13494113e-05	4.8041283e-06	0	0	0	0	0	0	3
18	3	0.00566374794	0.231532375	5.33190924e-06	1.98693716e-06	-5.79293092e-06	1.13494113e-05	4.8041283e-06	0	0	0	0	0	0	3
19	3	0.00609661138	0.244395285	2.99718967e-06	2.05866576e-06	-5.79293092e-06	1.13494113e-05	4.86563145e-06	0	0	0	0	0	0	3
