Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.000145410329	0.0128629097	106054.237	106054.237	106054.237	106054.237	0	0	0	0	209163	0	0	3
2	1	0.000282103751	0.0257258194	105422.503	105748.13	105422.503	106054.237	306.107064	0	0	0	209948	0	0	3
3	1	0.000410590173	0.0385887292	105478.134	105663.64	105422.503	106054.237	390.597129	0	0	0	210313	0	0	3
4	1	0.000534699882	0.0514516389	105472.586	105619.294	105422.503	106054.237	434.942792	0	0	0	212264	0	0	3
5	1	0.000663347786	0.0643145486	105508.659	105597.838	105422.503	106054.237	456.399098	0	0	0	211403	0	0	3
6	2	0.000933283275	0.0771774583	105466.068	105559.726	105422.503	106054.237	494.511144	0	0	0	209843	0	0	3
7	2	0.00133601501	0.0900403681	105423.93	105518.791	105422.503	106054.237	535.445745	0	0	0	208939	0	0	3
8	2	0.00171367794	0.102903278	105310.737	105472.94	105310.737	106054.237	581.297084	0	0	0	209265	0	0	3
9	2	0.00204576108	0.115766188	105227.739	105433.137	105227.739	106054.237	621.099891	0	0	0	210629	0	0	3
10	2	0.00235250952	0.128629097	105125.575	105393.034	105125.575	106054.237	661.203548	0	0	0	212233	0	0	3
11	2	0.00278661705	0.141492007	105094.032	105346.454	105094.032	106054.237	707.782895	0	0	0	215281	0	0	3
12	2	0.00319996427	0.154354917	105014.085	105303.521	105014.085	106054.237	750.715806	0	0	0	222931	0	0	3
13	3	0.00358829333	0.167217826	104991.826	105269.789	104991.826	106054.237	784.447801	0	0	0	232011	0	0	3
14	3	0.00394533396	0.180080736	104930.441	105239.079	104930.441	106054.237	815.157794	0	0	0	238917	0	0	3
15	3	0.00428113244	0.192943646	104903.948	105212.793	104903.948	106054.237	841.444438	0	0	0	244280	0	0	3
16	3	0.00476218948	0.205806556	104892.711	105180.459	104892.711	106054.237	873.777824	0	0	0	246723	0	0	3
17	3	0.00521994513	0.218669465	104864.539	105152.755	104864.539	106054.237	901.48198	0	0	0	248349	0	0	3
18	3	0.00566374794	0.231532375	104867.937	105130.437	104864.539	106054.237	923.79992	0	0	0	250102	0	0	3
19	3	0.00609661138	0.244395285	104834.815	105109.448	104834.815	106054.237	944.789302	0	0	0	251083	0	0	3
20	4	0.0065237468	0.257258194	104852.391	105092.617	104834.815	106054.237	961.619856	0	0	0	254084	0	0	3
21	4	0.0071556901	0.270121104	104818.861	105068.441	104818.861	106054.237	985.796248	0	0	0	254549	0	0	3
22	4	0.00778307986	0.282984014	104834.519	105049.585	104818.861	106054.237	1004.65259	0	0	0	256129	0	0	3
23	4	0.00840623883	0.295846924	104815.461	105032.229	104815.461	106054.237	1022.00829	0	0	0	255930	0	0	3
24	4	0.0090272426	0.308709833	104812.166	105017.09	104812.166	106054.237	1037.14693	0	0	0	257510	0	0	3
25	4	0.00964722744	0.321572743	104817.299	105004.251	104812.166	106054.237	1049.98662	0	0	0	257190	0	0	3
26	4	0.0105764651	0.334435653	104806.826	104986.905	104806.826	106054.237	1067.33211	0	0	0	257826	0	0	3
27	5	0.0115026175	0.347298563	104816.716	104973.202	104806.826	106054.237	1081.03516	0	0	0	257441	0	0	3
28	5	0.0124309062	0.360161472	104799.713	104960.247	104799.713	106054.237	1093.9906	0	0	0	258610	0	0	3
29	5	0.0133575579	0.373024382	104802.291	104949.289	104799.713	106054.237	1104.94841	0	0	0	258191	0	0	3
30	5	0.0142840034	0.385887292	104808.934	104940.186	104799.713	106054.237	1114.05167	0	0	0	259009	0	0	3
31	5	0.0154987529	0.398750201	104817.672	104930.583	104799.713	106054.237	1123.65393	0	0	0	258626	0	0	3
32	5	0.0167161851	0.411613111	104800.662	104921.121	104799.713	106054.237	1133.11607	0	0	0	259316	0	0	3
33	6	0.0179304296	0.424476021	104793.571	104912.484	104793.571	106054.237	1141.7537	0	0	0	258799	0	0	3
34	6	0.0191432475	0.437338931	104802.148	104905.493	104793.571	106054.237	1148.74399	0	0	0	259165	0	0	3
35	6	0.0203516708	0.45020184	104802.729	104899.391	104793.571	106054.237	1154.84581	0	0	0	258869	0	0	3
36	6	0.0215568107	0.46306475	104801.8	104893.936	104793.571	106054.237	1160.30168	0	0	0	259195	0	0	3
37	6	0.0227623774	0.47592766	104798.818	104888.898	104793.571	106054.237	1165.33939	0	0	0	258847	0	0	3
38	6	0.0239813028	0.488790569	104800.657	104884.413	104793.571	106054.237	1169.82449	0	0	0	259643	0	0	3
39	6	0.0252299952	0.501653479	104797.819	104880.127	104793.571	106054.237	1174.11024	0	0	0	258826	0	0	3
40	7	0.026492734	0.514516389	104825.429	104871.026	104793.571	105508.659	715.087722	0	0	0	259454	0	0	3
41	7	0.0277690642	0.527379299	104795.703	104864.786	104793.571	105508.659	715.087722	0	0	0	259251	0	0	3
42	7	0.0290558845	0.540242208	104802.118	104859.219	104793.571	105508.659	715.087722	0	0	0	259402	0	0	3
43	7	0.030349002	0.553105118	104811.212	104854.584	104793.571	105508.659	715.087722	0	0	0	258936	0	0	3
44	7	0.0316478662	0.565968028	104805.277	104849.801	104793.571	105466.068	672.496907	0	0	0	259372	0	0	3
45	7	0.032956688	0.578830938	104809.985	104842.979	104793.571	105423.93	630.358914	0	0	0	259167	0	0	3
46	8	0.0342727135	0.591693847	104793.587	104833.902	104793.571	105310.737	517.165637	0	0	0	259523	0	0	3
47	8	0.0355912775	0.604556757	104811.649	104827.72	104793.571	105227.739	434.167935	0	0	0	259076	0	0	3
48	8	0.0369107088	0.617419667	104789.452	104822.462	104789.452	105125.575	336.122764	0	0	0	259615	0	0	3
49	8	0.0382342701	0.630282576	104808.421	104819.353	104789.452	105094.032	304.579835	0	0	0	259244	0	0	3
50	8	0.0395593801	0.643145486	104781.918	104814.761	104781.918	105014.085	232.167055	0	0	0	259583	0	0	3
51	8	0.0408825197	0.656008396	104808.081	104812.34	104781.918	104991.826	209.907922	0	0	0	259153	0	0	3
52	8	0.0422018867	0.668871306	104773.682	104809.214	104773.682	104930.441	156.759159	0	0	0	259757	0	0	3
53	9	0.0435231309	0.681734215	104798.09	104807.749	104773.682	104903.948	130.266223	0	0	0	259284	0	0	3
54	9	0.0448444796	0.694597125	104775.095	104805.889	104773.682	104892.711	119.028927	0	0	0	259686	0	0	3
55	9	0.0461630984	0.707460035	104795.831	104804.56	104773.682	104867.937	94.255059	0	0	0	259271	0	0	3
56	9	0.0474787448	0.720322945	104778.94	104803.113	104773.682	104867.937	94.255059	0	0	0	259829	0	0	3
57	9	0.0487957638	0.733185854	104793.591	104802.155	104773.682	104852.391	78.7088037	0	0	0	259368	0	0	3
58	9	0.050111243	0.746048764	104770.05	104800.874	104770.05	104852.391	82.3405879	0	0	0	259762	0	0	3
59	10	0.0514249539	0.758911674	104794.97	104800.211	104770.05	104834.519	64.4687204	0	0	0	259292	0	0	3
60	10	0.0527363155	0.771774583	104767.881	104799.023	104767.881	104834.519	66.6379817	0	0	0	259878	0	0	3
61	10	0.0540493145	0.784637493	104800.733	104798.59	104767.881	104825.429	57.5481086	0	0	0	259405	0	0	3
62	10	0.0553630104	0.797500403	104767.888	104797.507	104767.881	104825.429	57.5481086	0	0	0	259824	0	0	3
63	10	0.0566727069	0.810363313	104801.635	104797.429	104767.881	104825.429	57.5481086	0	0	0	259334	0	0	3
64	10	0.057985782	0.823226222	104761.746	104796.205	104761.746	104825.429	63.6826636	0	0	0	259917	0	0	3
65	10	0.0592974716	0.836089132	104795.359	104795.98	104761.746	104825.429	63.6826636	0	0	0	259442	0	0	3
66	11	0.0606071771	0.848952042	104768.319	104794.851	104761.746	104825.429	63.6826636	0	0	0	259832	0	0	3
67	11	0.0619137305	0.861814951	104792.023	104794.685	104761.746	104825.429	63.6826636	0	0	0	259398	0	0	3
68	11	0.0632242294	0.874677861	104763.907	104793.735	104761.746	104825.429	63.6826636	0	0	0	259957	0	0	3
69	11	0.0645339311	0.887540771	104780.823	104793.118	104761.746	104825.429	63.6826636	0	0	0	259485	0	0	3
70	11	0.065841945	0.900403681	104782.378	104792.247	104761.746	104825.429	63.6826636	0	0	0	259891	0	0	3
71	11	0.0671522212	0.91326659	104775.647	104791.612	104761.746	104825.429	63.6826636	0	0	0	259439	0	0	3
72	12	0.0684619295	0.9261295	104775.591	104791.15	104761.746	104825.429	63.6826636	0	0	0	259976	0	0	3
73	12	0.0697683198	0.93899241	104789.056	104790.832	104761.746	104825.429	63.6826636	0	0	0	259522	0	0	3
74	12	0.0710786896	0.95185532	104761.766	104789.798	104761.746	104825.429	63.6826636	0	0	0	259929	0	0	3
75	12	0.0723883212	0.964718229	104782.667	104789.33	104761.746	104825.429	63.6826636	0	0	0	259467	0	0	3
76	12	0.0736959325	0.977581139	104766.782	104788.526	104761.746	104825.429	63.6826636	0	0	0	260038	0	0	3
77	12	0.0750058633	0.990444049	104784.224	104788.126	104761.746	104825.429	63.6826636	0	0	0	259569	0	0	3
78	12	0.0763165913	1.00330696	104769.299	104787.406	104761.746	104825.429	63.6826636	112.036942	0	0	259961	0	0	3
79	13	0.077623405	1.01616987	104782.962	104786.354	104761.746	104811.649	49.90315	112.036942	0	0	259510	0	0	3
80	13	0.0789339182	1.02903278	104761.72	104785.489	104761.72	104811.649	49.9297731	112.038939	0	0	260077	0	0	3
81	13	0.0802435138	1.04189569	104770.786	104784.695	104761.72	104811.649	49.9297731	112.039604	0	0	259603	0	0	3
82	13	0.0815495272	1.0547586	104766.501	104783.561	104761.72	104811.649	49.9297731	112.039937	0	0	260010	0	0	3
83	13	0.0828584481	1.06762151	104780.346	104782.929	104761.72	104811.649	49.9297731	112.036942	0	0	259600	0	0	3
84	13	0.0841683114	1.08048442	104774.798	104782.029	104761.72	104811.649	49.9297731	112.036942	0	0	259996	0	0	3
