Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.199942	293.199942	293.199942	293.199942	0	0	0	0	202.994	0	0	3
2	1	0	0.05	293.199849	293.199895	293.199849	293.199942	4.6363598e-05	0	0	0	202.994	0	0	3
3	1	0	0.075	293.199719	293.199837	293.199719	293.199942	0.000105043945	0	0	0	202.994	0	0	3
4	2	0	0.1	293.199547	293.199764	293.199547	293.199942	0.000177423253	0	0	0	202.994	0	0	3
5	2	0	0.125	293.199302	293.199672	293.199302	293.199942	0.000269907653	0	0	0	202.994	0	0	3
6	2	0	0.15	293.1983	293.199443	293.1983	293.199942	0.000498472409	0	0	0	202.994	0	0	3
7	2	0	0.175	293.190584	293.198177	293.190584	293.199942	0.0017641331	0	0	0	202.994	0	0	3
8	2	0	0.2	293.162254	293.193687	293.162254	293.199942	0.00625453844	0	0	0	202.994	0	0	3
9	2	0	0.225	293.125806	293.186145	293.125806	293.199942	0.0137968863	0	0	0	202.994	0	0	3
10	2	0	0.25	293.085692	293.176099	293.085692	293.199942	0.0238421386	0	0	0	202.994	0	0	3
11	2	0	0.275	293.017716	293.161701	293.017716	293.199942	0.0382405991	0	0	0	202.994	0	0	3
12	3	0	0.3	292.948292	293.143917	292.948292	293.199942	0.0560246734	0	0	0	202.995	0	0	3
13	3	0	0.325	292.879236	293.123557	292.879236	293.199942	0.0763847157	0	0	0	202.995	0	0	3
14	3	0	0.35	292.811409	293.101261	292.811409	293.199942	0.098680989	0	0	0	202.995	0	0	3
15	3	0	0.375	292.745306	293.07753	292.745306	293.199942	0.122411315	0	0	0	202.995	0	0	3
16	3	0	0.4	292.649825	293.050799	292.649825	293.199942	0.149142881	0	0	0	202.995	0	0	3
17	3	0	0.425	292.560102	293.021934	292.560102	293.199942	0.178007374	0	0	0	202.995	0	0	3
18	3	0	0.45	292.475937	292.991601	292.475937	293.199942	0.208340536	0	0	0	202.995	0	0	3
19	4	0	0.475	292.39702	292.960307	292.39702	293.199942	0.239634274	0	0	0	202.995	0	0	3
20	4	0	0.5	292.322749	292.928429	292.322749	293.199942	0.271512177	0	0	0	202.995	0	0	3
21	4	0	0.525	292.219526	292.879409	292.219526	293.199849	0.320486601	0	0	0	202.995	0	0	3
22	4	0	0.55	292.123287	292.825581	292.123287	293.199719	0.374256024	0	0	0	202.995	0	0	3
23	4	0	0.575	292.03195	292.767192	292.03195	293.199547	0.432572089	0	0	0	202.995	0	0	3
