Iteration	CPUTime	PhysTime	Travels
1	1	0.000145410329	0.0128629097
2	1	0.000282103751	0.0257258194
3	1	0.000410590173	0.0385887292
4	1	0.000534699882	0.0514516389
5	1	0.000663347786	0.0643145486
6	2	0.000933283275	0.0771774583
7	2	0.00133601501	0.0900403681
8	2	0.00171367794	0.102903278
9	2	0.00204576108	0.115766188
10	2	0.00235250952	0.128629097
11	2	0.00278661705	0.141492007
12	2	0.00319996427	0.154354917
13	3	0.00358829333	0.167217826
14	3	0.00394533396	0.180080736
15	3	0.00428113244	0.192943646
16	3	0.00476218948	0.205806556
17	3	0.00521994513	0.218669465
18	3	0.00566374794	0.231532375
19	3	0.00609661138	0.244395285
20	4	0.0065237468	0.257258194
21	4	0.0071556901	0.270121104
22	4	0.00778307986	0.282984014
23	4	0.00840623883	0.295846924
24	4	0.0090272426	0.308709833
25	4	0.00964722744	0.321572743
26	4	0.0105764651	0.334435653
27	5	0.0115026175	0.347298563
28	5	0.0124309062	0.360161472
29	5	0.0133575579	0.373024382
30	5	0.0142840034	0.385887292
31	5	0.0154987529	0.398750201
32	5	0.0167161851	0.411613111
33	6	0.0179304296	0.424476021
34	6	0.0191432475	0.437338931
35	6	0.0203516708	0.45020184
36	6	0.0215568107	0.46306475
37	6	0.0227623774	0.47592766
38	6	0.0239813028	0.488790569
39	6	0.0252299952	0.501653479
40	7	0.026492734	0.514516389
41	7	0.0277690642	0.527379299
42	7	0.0290558845	0.540242208
43	7	0.030349002	0.553105118
44	7	0.0316478662	0.565968028
45	7	0.032956688	0.578830938
46	8	0.0342727135	0.591693847
47	8	0.0355912775	0.604556757
48	8	0.0369107088	0.617419667
49	8	0.0382342701	0.630282576
50	8	0.0395593801	0.643145486
51	8	0.0408825197	0.656008396
52	8	0.0422018867	0.668871306
53	9	0.0435231309	0.681734215
54	9	0.0448444796	0.694597125
55	9	0.0461630984	0.707460035
56	9	0.0474787448	0.720322945
57	9	0.0487957638	0.733185854
58	9	0.050111243	0.746048764
59	10	0.0514249539	0.758911674
60	10	0.0527363155	0.771774583
61	10	0.0540493145	0.784637493
62	10	0.0553630104	0.797500403
63	10	0.0566727069	0.810363313
64	10	0.057985782	0.823226222
65	10	0.0592974716	0.836089132
66	11	0.0606071771	0.848952042
67	11	0.0619137305	0.861814951
68	11	0.0632242294	0.874677861
69	11	0.0645339311	0.887540771
70	11	0.065841945	0.900403681
71	11	0.0671522212	0.91326659
72	12	0.0684619295	0.9261295
73	12	0.0697683198	0.93899241
74	12	0.0710786896	0.95185532
75	12	0.0723883212	0.964718229
76	12	0.0736959325	0.977581139
77	12	0.0750058633	0.990444049
78	12	0.0763165913	1.00330696
79	13	0.077623405	1.01616987
80	13	0.0789339182	1.02903278
81	13	0.0802435138	1.04189569
82	13	0.0815495272	1.0547586
83	13	0.0828584481	1.06762151
84	13	0.0841683114	1.08048442
85	14	0.0854744978	1.09334733
86	14	0.0867848611	1.10621024
87	14	0.0880943255	1.11907315
88	14	0.0894015856	1.13193606
89	14	0.0907109991	1.14479897
90	14	0.0920211317	1.15766188
91	14	0.0933274143	1.17052478
